Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material,Category
Generic Models,FEMALE TOILET SYMBOL SIGNAGE,FEMALE TOILET SYMBOL SIGNAGE,FEMALE TOILET SYMBOL SIGNAGE,,,FEMALE TOILET SIGNAGE,MCR07,FEMALE TOILET SYMBOL SIGNAGE,,Aluminum,Generic Model (MISC)
Generic Models,MALE TOILET SYMBOL SIGNAGE,MALE TOILET SYMBOL SIGNAGE,MALE TOILET SYMBOL SIGNAGE,,,MALE TOILET SIGNAGE,MCR07,MALE TOILET SYMBOL SIGNAGE,,Aluminum,Generic Model (MISC)
Generic Models,SECURITY,SECURITY,SECURITY,,,SECURITY ROOM SIGANGE,MCR07,SECURITY,,<By Category>,Generic Model (MISC)
Generic Models,Outlet - 2 Outlet 2 Switch,Outlet - 2 Outlet 2 Switch,Outlet - 2 Outlet 2 Switch,E1090900,Other Equipment,FIRE RATED ROLLER SHUTTER SWITCH,MCR07,Outlet - 2 Outlet 2 Switch,,<By Category>,Generic Model (MISC)
Generic Models,FIRE CONTROL MODULE,FIRE CONTROL MODULE,FIRE CONTROL MODULE,,,FIRE RATED ROLLER SHUTTER - FIRE CONTROL MODULE,MCR07,FIRE CONTROL MODULE,,<By Category>,Generic Model (MISC)
Generic Models,Pallet_Racking_-_Victor_-_Adjustable_Beams_-_Optional_Shelving_8623,600 x 1200mm Racking,Pallet_Racking_-_Victor_-_Adjustable_Beams_-_Optional_Shelving_8623,,,NA,MCR07,600 x 1200mm Racking,,<By Category>,Generic Model (MISC)
Generic Models,OG Box130,OG Box,OG Box130,,,NA,NA,OG Box,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 2,Generic Models 1,Generic Models 2,,,STEEL CHAIN FOR RESCUE PLATFORM,MCR07,Generic Models 1,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 3,Generic Models 1,Generic Models 3,,,STEEL CHAIN FOR RESCUE PLATFORM,MCR07,Generic Models 1,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 4,Generic Models 1,Generic Models 4,,,STEEL CHAIN FOR RESCUE PLATFORM,MCR07,Generic Models 1,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 5,Generic Models 1,Generic Models 5,E1090100,Maintenance Equipment,STEEL CHAIN FOR RESCUE PLATFORM,MCR07,Generic Models 1,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 6,Generic Models 1,Generic Models 6,,,STEEL CHAIN FOR RESCUE PLATFORM,MCR07,Generic Models 1,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 1,Generic Models 1,Generic Models 1,,,STEEL CHAIN FOR RESCUE PLATFORM,NA,Generic Models 1,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 7,Generic Models 7,Generic Models 7,,,48 DIAMETER X 2MM THK PIPE REMOVABLE RAILING,MCR07,Generic Models 7,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 8,Generic Models 1,Generic Models 8,,,STEEL CHAIN FOR RESCUE PLATFORM,MCR07,Generic Models 1,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 9,Generic Models 1,Generic Models 9,,,STEEL CHAIN FOR RESCUE PLATFORM,MCR07,Generic Models 1,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 10,Generic Models 1,Generic Models 10,,,STEEL CHAIN FOR RESCUE PLATFORM,MCR07,Generic Models 1,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 11,Generic Models 1,Generic Models 11,,,STEEL CHAIN FOR RESCUE PLATFORM,MCR07,Generic Models 1,,<By Category>,Generic Model (MISC)
Generic Models,Furniture 2,Furniture 2,Furniture 2,,,SAFETY HOOK,MCR07,Furniture 2,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 12,Generic Models 12,Generic Models 12,,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 13,Generic Models 13,Generic Models 13,,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 14,Generic Models 12,Generic Models 14,E1090100,Maintenance Equipment,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 15,Generic Models 15,Generic Models 15,,,BOLTS & NUTS,MCR07,Generic Models 15,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 16,Generic Models 12,Generic Models 16,,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 17,Generic Models 13,Generic Models 17,,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 18,Generic Models 12,Generic Models 18,,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 19,Generic Models 15,Generic Models 19,,,BOLTS & NUTS,MCR07,Generic Models 15,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 20,Generic Models 12,Generic Models 20,,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 21,Generic Models 13,Generic Models 21,,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 22,Generic Models 12,Generic Models 22,,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 23,Generic Models 15,Generic Models 23,,,BOLTS & NUTS,MCR07,Generic Models 15,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 24,Generic Models 12,Generic Models 24,,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 25,Generic Models 13,Generic Models 25,,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 26,Generic Models 12,Generic Models 26,,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 27,Generic Models 15,Generic Models 27,,,BOLTS & NUTS,MCR07,Generic Models 15,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 28,Generic Models 12,Generic Models 28,,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 29,Generic Models 13,Generic Models 29,,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 30,Generic Models 12,Generic Models 30,,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 31,Generic Models 15,Generic Models 31,,,BOLTS & NUTS,MCR07,Generic Models 15,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 32,Generic Models 12,Generic Models 32,,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 33,Generic Models 13,Generic Models 33,,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,Generic Model (MISC)
Generic Models,Generic Models 34,Generic Models 12,Generic Models 34,,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,Generic Model (MISC)
