Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material,Prediction
Generic Models,Generic Models 73,Generic Models 15,Generic Models 73 [9396536],,,BOLTS & NUTS,MCR07,Generic Models 15,,<By Category>,
Generic Models,Generic Models 74,Generic Models 12,Generic Models 74 [9396593],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 75,Generic Models 13,Generic Models 75 [9396606],,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,
Generic Models,Generic Models 76,Generic Models 12,Generic Models 76 [9396618],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 77,Generic Models 15,Generic Models 77 [9396634],,,BOLTS & NUTS,MCR07,Generic Models 15,,<By Category>,
Generic Models,Generic Models 78,Generic Models 12,Generic Models 78 [9396657],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 79,Generic Models 13,Generic Models 79 [9396670],,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,
Generic Models,Generic Models 80,Generic Models 12,Generic Models 80 [9396682],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 81,Generic Models 15,Generic Models 81 [9396698],,,BOLTS & NUTS,MCR07,Generic Models 15,,<By Category>,
Generic Models,Generic Models 82,Generic Models 82,Generic Models 82 [9396869],,,SS316 CABLE 8MM DIA,MCR07,Generic Models 82,,<By Category>,
Generic Models,Generic Models 83,Generic Models 83,Generic Models 83 [9397337],,,SS316 CABLE 8MM DIA,MCR07,Generic Models 83,,<By Category>,
Generic Models,Generic Models 84,Generic Models 83,Generic Models 84 [9397443],,,SS316 CABLE 8MM DIA,MCR07,Generic Models 83,,<By Category>,
Generic Models,Generic Models 85,Generic Models 83,Generic Models 85 [9397531],,,SS316 CABLE 8MM DIA,MCR07,Generic Models 83,,<By Category>,
Generic Models,Generic Models 86,Generic Models 83,Generic Models 86 [9397625],,,SS316 CABLE 8MM DIA,MCR07,Generic Models 83,,<By Category>,
Generic Models,11112_WAVELINE-220-405_,TGW-220,11112_WAVELINE-220-405_ [9502702],,,Slotted Collection - TGW -220,MCR07,TGW-220,,"Jonite Stone (reinforced),<By Category>",
Generic Models,11112_WAVELINE-220-405_,TGW-220,11112_WAVELINE-220-405_ [9514358],,,Slotted Collection - TGW -220,MCR07,TGW-220,,"Jonite Stone (reinforced),<By Category>",
Generic Models,NEW,TGW-220,NEW [9513891],,,Slotted Collection - TGW -220,MCR07,TGW-220,,"Jonite Stone (reinforced),<By Category>",
Generic Models,GUARD POST SIGNAGE,GUARD POST SIGNAGE,GUARD POST SIGNAGE [9925444],,,GUARD POST ROOM SIGNAGE,MCR07,GUARD POST SIGNAGE,,Aluminum,
Generic Models,MALE TOILET_SYMBOL SIGNAGE,MALE TOILET_SYMBOL SIGNAGE,MALE TOILET_SYMBOL SIGNAGE [9935959],,,MALE TOILET SIGNAGE,MCR07,MALE TOILET_SYMBOL SIGNAGE,,Aluminum,
Generic Models,Fire Extinguisher2,Fire Extinguisher,Fire Extinguisher2 [9967035],,,FIRE EXTINGUISHER SIGNAGE,MCR07,Fire Extinguisher,,Aluminum,
Generic Models,Generic Models 90,Generic Models 90,Generic Models 90 [9975315],,,NA,MCR07,Generic Models 90,,<By Category>,
Generic Models,NO ENTRY,NO ENTRY,NO ENTRY [10060993],,,NO ENTRY SIGNAGE,MCR07,NO ENTRY,,Aluminum,
Generic Models,NO ENTRY,NO ENTRY,NO ENTRY [10061226],,,NO ENTRY SIGNAGE,MCR07,NO ENTRY,,Aluminum,
Generic Models,RESTRICTED AREA,RESTRICTED AREA,RESTRICTED AREA [10061578],,,RESTRICTED AREA SIGNAGE,MCR07,RESTRICTED AREA,,Aluminum,
