"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Electrical Equipment","ACM_ELEC_DB","DB-SS","ACM_ELEC_DB","[3315249]","","","","","DB-SS","",""
"Lighting Fixtures","WT188C LED40 NW L1200 PSD(Wall Mount)","1x34W LED Batten(W/P)","WT188C LED40 NW L1200 PSD(Wall Mount)","[4167314]","","","","","1x34W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED40 NW L1200 PSD(Wall Mount)","1x34W LED Batten(W/P)","WT188C LED40 NW L1200 PSD(Wall Mount)","[4167324]","","","","","1x34W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED40 NW L1200 PSD(Wall Mount)","1x34W LED Batten(W/P)","WT188C LED40 NW L1200 PSD(Wall Mount)","[4167332]","","","","","1x34W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED40 NW L1200 PSD(Wall Mount)","1x34W LED Batten(W/P)","WT188C LED40 NW L1200 PSD(Wall Mount)","[4167342]","","","","","1x34W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED40 NW L1200 PSD(Wall Mount)","1x34W LED Batten(W/P)","WT188C LED40 NW L1200 PSD(Wall Mount)","[4167376]","","","","","1x34W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED40 NW L1200 PSD(Wall Mount)","1x34W LED Batten(W/P)","WT188C LED40 NW L1200 PSD(Wall Mount)","[4167468]","","","","","1x34W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED40 NW L1200 PSD(Wall Mount)","1x34W LED Batten(W/P)","WT188C LED40 NW L1200 PSD(Wall Mount)","[4167478]","","","","","1x34W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED40 NW L1200 PSD(Wall Mount)","1x34W LED Batten(W/P)","WT188C LED40 NW L1200 PSD(Wall Mount)","[4167486]","","","","","1x34W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED40 NW L1200 PSD(Wall Mount)","1x34W LED Batten(W/P)","WT188C LED40 NW L1200 PSD(Wall Mount)","[4243336]","","","","","1x34W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED40 NW L1200 PSD(Wall Mount)","1x34W LED Batten(W/P)","WT188C LED40 NW L1200 PSD(Wall Mount)","[4243360]","","","","","1x34W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED40 NW L1200 PSD(Wall Mount)","1x34W LED Batten(W/P)","WT188C LED40 NW L1200 PSD(Wall Mount)","[4243599]","","","","","1x34W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED40 NW L1200 PSD(Wall Mount)","1x34W LED Batten(W/P)","WT188C LED40 NW L1200 PSD(Wall Mount)","[4245810]","","","","","1x34W LED Batten(W/P)","",""
